State,Average Price
Wisconsin,1031.2
Idaho,1198.4
Wyoming,1198.6
Virginia,1214.8
Colorado,1219.0
Arkansas,1281.8
Kansas,1306.2
West Virginia,1309.2
Oklahoma,1430.2
New Mexico,1436.0
Iowa,1576.2
North Dakota,1584.2
South Dakota,1589.2
Alaska,1642.2
Minnesota,1728.0
South Carolina,1850.6
Georgia,1880.4
Alabama,1881.4
North Carolina,1933.2
Maryland,1945.2
Mississippi,1962.2
Michigan,1976.8
Missouri,2092.2
Montana,2145.2
Massachusetts,2162.4
Nebraska,2200.0
Washington,2207.2
New York,2215.2
Texas,2310.6
Indiana,2353.4
Pennsylvania,2378.6
Ohio,2468.4
New Jersey,2806.8
Maine,2912.6
Kentucky,3279.4
Louisiana,3282.0
Arizona,3377.4
Rhode Island,3520.8
New Hampshire,3668.0
California,3744.2
Florida,3866.4
Vermont,3977.6
Hawaii,5122.6
Delaware,5320.0
Tennessee,9444.4
Illinois,9926.4
Connecticut,17514.2
